epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2366,1.27031,2.97026,1.45662,0.55773,0.58777,0.60458,0.37162,1.28817,2.06538,1.48435,0.000475154,0.000475154,0.000475154
2,154.484,1.34869,2.08816,1.48882,0.64062,0.65072,0.66484,0.41458,1.31893,1.5391,1.44489,0.000932648,0.000932648,0.000932648
3,222.201,1.35643,1.78999,1.47593,0.70942,0.6209,0.69654,0.45511,1.23646,1.39089,1.38572,0.00137128,0.00137128,0.00137128
4,289.904,1.32504,1.66678,1.44678,0.78262,0.67727,0.78514,0.51616,1.2155,1.20627,1.36198,0.00134412,0.00134412,0.00134412
5,360.022,1.24945,1.48539,1.39369,0.8137,0.72177,0.80854,0.53281,1.15383,1.19163,1.31471,0.00131582,0.00131582,0.00131582
6,427.368,1.20438,1.38051,1.36449,0.81927,0.70985,0.79908,0.5374,1.18464,1.18066,1.37165,0.00128753,0.00128753,0.00128753
7,494.012,1.17118,1.30865,1.34065,0.84601,0.81895,0.87718,0.59751,1.13705,0.93333,1.3209,0.00125923,0.00125923,0.00125923
8,560.512,1.15004,1.20927,1.32263,0.83092,0.77273,0.85802,0.61857,1.05866,0.90603,1.26041,0.00123094,0.00123094,0.00123094
9,627.015,1.10808,1.15545,1.2943,0.88353,0.8049,0.88072,0.65102,0.9963,0.84817,1.19501,0.00120265,0.00120265,0.00120265
10,693.336,1.09265,1.11958,1.28486,0.81399,0.84433,0.87326,0.65537,1.00821,0.86005,1.19331,0.00117435,0.00117435,0.00117435
11,761.061,1.0605,1.0785,1.26035,0.87172,0.84738,0.89288,0.65049,1.00854,0.81319,1.21074,0.00114606,0.00114606,0.00114606
12,827.81,1.04786,1.03063,1.25092,0.88634,0.8713,0.91083,0.66979,1.02317,0.77376,1.19541,0.00111776,0.00111776,0.00111776
13,895.984,1.02744,0.99441,1.23155,0.87705,0.87216,0.9193,0.68996,0.98428,0.71004,1.16589,0.00108947,0.00108947,0.00108947
14,962.735,1.01886,0.97978,1.2311,0.92049,0.88158,0.92434,0.68498,0.98257,0.67617,1.16552,0.00106118,0.00106118,0.00106118
15,1029.13,0.99847,0.92963,1.21825,0.88913,0.86922,0.90642,0.67618,0.96044,0.71403,1.15971,0.00103288,0.00103288,0.00103288
16,1095.61,0.97826,0.91287,1.2044,0.89198,0.87315,0.92533,0.69708,0.96437,0.66372,1.15401,0.00100459,0.00100459,0.00100459
17,1162.14,0.95886,0.88775,1.19475,0.89778,0.89034,0.93471,0.70336,0.926,0.64238,1.12704,0.000976293,0.000976293,0.000976293
18,1228.81,0.9631,0.87242,1.20319,0.90701,0.90494,0.94972,0.72788,0.91219,0.61297,1.11232,0.000947999,0.000947999,0.000947999
19,1294.56,0.93723,0.83577,1.18554,0.93168,0.87964,0.92413,0.70294,0.93204,0.63968,1.1435,0.000919704,0.000919704,0.000919704
20,1361.91,0.92545,0.82721,1.1683,0.90216,0.89796,0.92269,0.69916,0.94184,0.67382,1.13503,0.00089141,0.00089141,0.00089141
